t,cls,x,y
370,1.0,403.75,134.0
370,2.0,188.0,480.0
371,0.0,294.625,228.5
371,2.0,182.125,480.0
371,1.0,398.75,136.375
372,0.0,289.75,235.625
372,2.0,181.875,480.0
372,1.0,394.875,138.25
373,0.0,276.25,256.75
373,2.0,178.625,479.375
374,0.0,270.375,261.5
375,0.0,263.0,277.75
375,1.0,366.0,155.375
376,0.0,259.875,285.8125
376,1.0,362.0,156.75
377,0.0,253.875,292.8125
378,0.0,250.3125,300.5
378,1.0,356.0,161.34375
379,0.0,245.5,310.0
379,1.0,351.625,164.25
380,0.0,239.9375,320.5
380,1.0,347.75,167.5
381,0.0,237.3125,330.5
382,0.0,231.25,341.75
382,1.0,340.5,170.84375
383,0.0,210.75,395.125
383,1.0,323.125,183.46875
384,0.0,204.0,412.75
384,1.0,321.0,186.625
385,0.0,197.9375,429.6875
385,1.0,315.5,189.53125
386,0.0,192.375,449.0
386,1.0,310.5,195.03125
387,0.0,189.0625,469.9375
387,1.0,305.875,197.8125
388,0.0,179.5625,480.0
388,1.0,298.875,205.21875
389,1.0,293.75,211.4375
389,0.0,150.8125,480.0
390,0.0,152.5625,480.0
390,1.0,290.625,214.46875
391,1.0,275.25,234.0
392,1.0,269.5,239.625
393,1.0,266.0,246.25
394,1.0,255.875,257.75
395,1.0,252.9375,265.0
396,1.0,247.625,270.5
397,1.0,242.375,279.0
398,1.0,239.0625,286.75
399,1.0,234.0,295.5
400,1.0,229.5,304.25
401,1.0,206.75,345.25
402,1.0,205.1875,358.75
403,1.0,196.6875,371.6875
404,1.0,192.25,384.625
405,1.0,187.1875,399.1875
406,1.0,173.0,430.4375
407,1.0,163.75,451.125
408,1.0,158.25,474.0
409,1.0,149.5625,480.0
410,1.0,126.75,479.125
